# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# magUInf               : 1.6000000000000000e+01
# lRef                  : 1.5300000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 7.6500000000000001e-01 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
1                       	5.1677856645655718e-01	2.7417036372819537e-01	2.4260820272836181e-01	-3.0563358436547696e-02	3.6840237220702227e-01	-3.9896573064356999e-01	3.8368405142529616e-01	1.5781080499916788e-02	2.6683337745142510e-01	-1.3641530852946604e-20	2.6683337745142510e-01	-2.6683337745142510e-01
2                       	8.5370693481139653e-02	4.4887139297972903e-02	4.0483554183166751e-02	-4.2642311554768539e-03	5.9912983055125692e-02	-6.4177214210602546e-02	6.2045098632864122e-02	2.2017925574030787e-03	4.4080292712483829e-02	-1.0274208612799954e-20	4.4080292712483829e-02	-4.4080292712483829e-02
3                       	1.8680496899805429e-01	1.4520822340853770e-01	4.1596745589516586e-02	-1.0033263358424191e-01	2.0709430699204265e-01	-3.0742694057628456e-01	2.5726062378416359e-01	5.1805738909510561e-02	9.6454853273505267e-02	1.3618260290656601e-21	9.6454853273505267e-02	-9.6454853273505267e-02
4                       	1.8224590540936775e-01	1.3443546415496249e-01	4.7810441254405235e-02	-8.3883724707501606e-02	1.8612547595651513e-01	-2.7000920066401674e-01	2.2806733831026596e-01	4.3312511450278632e-02	9.4100826976078786e-02	8.3641158962741141e-21	9.4100826976078786e-02	-9.4100826976078786e-02
5                       	9.9817215504318421e-02	8.1700428401750416e-02	1.8116787102568012e-02	-6.1571500751740019e-02	1.1162808731904594e-01	-1.7319958807078595e-01	1.4241383769491597e-01	3.1791820649591199e-02	5.1539608005497756e-02	4.4826021981968258e-21	5.1539608005497756e-02	-5.1539608005497756e-02
6                       	1.5264123822372597e-01	9.7017210062779469e-02	5.5624028160946505e-02	-4.0083271082154738e-02	1.3059998679745058e-01	-1.7068325787960534e-01	1.5064162233852796e-01	2.0696590950916475e-02	7.8814756991335569e-02	1.5239053028765430e-21	7.8814756991335569e-02	-7.8814756991335569e-02
7                       	1.6825444981058252e-01	1.0181009403138377e-01	6.6444355779198730e-02	-3.4246569320153845e-02	1.3548804505200632e-01	-1.6973461437216014e-01	1.5261132971208324e-01	1.7682869126092519e-02	8.6876480621150401e-02	3.0732538906055164e-22	8.6876480621150401e-02	-8.6876480621150401e-02
8                       	2.3589706608782471e-01	1.3282774682987422e-01	1.0306931925795049e-01	-2.8816705180407159e-02	1.7634812630983129e-01	-2.0516483149023845e-01	1.9075647890003489e-01	1.4879213785961869e-02	1.2180306026756964e-01	-8.1980144848642018e-22	1.2180306026756964e-01	-1.2180306026756964e-01
9                       	1.9993214144916660e-01	1.1000485664713844e-01	8.9927284802028162e-02	-1.9442205647480223e-02	1.4616351951295431e-01	-1.6560572516043454e-01	1.5588462233669442e-01	1.0038785922555138e-02	1.0323293578094223e-01	-1.4307157584405604e-21	1.0323293578094223e-01	-1.0323293578094223e-01
10                      	1.9140653672658017e-01	9.9737504275987390e-02	9.1669032450592769e-02	-7.8131404385150347e-03	1.3255625569117205e-01	-1.4036939612968707e-01	1.3646282591042957e-01	4.0342359126973064e-03	9.8830826152940143e-02	-3.1984362575486120e-21	9.8830826152940143e-02	-9.8830826152940143e-02
