# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# magUInf               : 1.6000000000000000e+01
# lRef                  : 1.5300000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 7.6500000000000001e-01 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
1                       	4.8582497225232568e-01	4.8376424582254673e-01	2.0607264297789162e-03	-4.6645973713350236e-01	5.9602027098727117e-01	-1.0624800081207735e+00	8.2925013955402238e-01	2.4085175969638392e-01	2.5085080266623372e-01	-2.4709730364466969e-20	2.5085080266623372e-01	-2.5085080266623372e-01
2                       	1.1133496303025102e-01	1.6573129119436822e-01	-5.4396328164117193e-02	-2.1316155545473645e-01	1.9348016715926189e-01	-4.0664172261399834e-01	3.0006094488663015e-01	1.1006380967924270e-01	5.7486680257449831e-02	-8.5747388953179318e-21	5.7486680257449831e-02	-5.7486680257449831e-02
3                       	-7.4640675549348348e-02	-3.2734043190530852e-02	-4.1906632358817503e-02	-8.8823173591636925e-03	-4.4024644286671050e-02	3.5142326927507357e-02	-3.9583485607089207e-02	4.5862945841433200e-03	-3.8539956656199387e-02	5.3628065990631141e-21	-3.8539956656199387e-02	3.8539956656199387e-02
4                       	-5.9416485126215168e-02	-1.9743145612629069e-02	-3.9673339513586099e-02	-1.9299491562319176e-02	-2.7174359293268713e-02	7.8748677309495394e-03	-1.7524613512109127e-02	9.9650969504785150e-03	-3.0679100163209121e-02	2.6624824267004956e-21	-3.0679100163209121e-02	3.0679100163209121e-02
5                       	-2.7398156889978563e-02	-1.0606208087722639e-02	-1.6791948802255926e-02	-5.9899894260987199e-03	-1.6767040557598131e-02	1.0777051131499413e-02	-1.3772045844548773e-02	3.0928703572666427e-03	-1.4146760747113098e-02	-1.9268640196888509e-21	-1.4146760747113098e-02	1.4146760747113098e-02
6                       	-7.2716719885475255e-03	-1.2101625261528089e-02	4.8299532729805640e-03	1.6395769087214043e-02	-1.9076725148258290e-02	3.5472494235472329e-02	-2.7274609691865313e-02	-8.4657892672543276e-03	-3.7546541640212719e-03	-5.4896764587698372e-21	-3.7546541640212719e-03	3.7546541640212719e-03
7                       	2.6055905315764661e-03	-9.8706799553513261e-03	1.2476270486927793e-02	2.1639768466257574e-02	-1.6753407745388180e-02	3.8393176211645751e-02	-2.7573291978516965e-02	-1.1173475221139560e-02	1.3453702744741238e-03	-7.1011220011616928e-21	1.3453702744741238e-03	-1.3453702744741238e-03
8                       	5.5460285457615815e-03	-4.0873767674476967e-03	9.6334053132092774e-03	1.3286580116079236e-02	-1.0182190030827872e-02	2.3468770146907111e-02	-1.6825480088867494e-02	-6.8603910403284875e-03	2.8636356543474853e-03	-7.1962649368090562e-21	2.8636356543474853e-03	-2.8636356543474853e-03
9                       	4.7173300140700078e-03	5.2729061102358326e-03	-5.5557609616582455e-04	-5.6440365669585347e-03	9.0806328717053678e-04	-6.5520998541290718e-03	3.7300815706498040e-03	2.9142411032008287e-03	2.4357455628204643e-03	-7.0470545763272696e-21	2.4357455628204643e-03	-2.4357455628204643e-03
10                      	2.3959511722183467e-03	1.3830372282363430e-02	-1.1434421110145084e-02	-2.4465274614264565e-02	1.1397439449413876e-02	-3.5862714063678441e-02	2.3630076756546159e-02	1.2632396696254256e-02	1.2371251150669880e-03	-6.0170515214196800e-21	1.2371251150669880e-03	-1.2371251150669880e-03
11                      	3.2147687621507989e-04	1.8743813961645494e-02	-1.8422337085430413e-02	-3.5990007026598728e-02	1.7586706185861601e-02	-5.3576713212460332e-02	3.5581709699160968e-02	1.8583075523537954e-02	1.6599132824177221e-04	-5.1502912256834003e-21	1.6599132824177221e-04	-1.6599132824177221e-04
12                      	-3.9481487130688282e-04	2.0178949193620017e-02	-2.0573764064926902e-02	-3.9463070433909272e-02	1.9871815129582238e-02	-5.9334885563491507e-02	3.9603350346536871e-02	2.0376356629273458e-02	-2.0385865904081049e-04	-4.3090799093618050e-21	-2.0385865904081049e-04	2.0385865904081049e-04
13                      	-6.9640941446433139e-04	2.1472334032833530e-02	-2.2168743447297863e-02	-4.2260030724431068e-02	2.2002651823706421e-02	-6.4262682548137495e-02	4.3132667185921958e-02	2.1820538740065697e-02	-3.5958394603060456e-04	-3.4947046923166833e-21	-3.5958394603060456e-04	3.5958394603060456e-04
14                      	-3.6482237273279938e-04	2.5513049837790763e-02	-2.5877872210523564e-02	-4.9764627046785331e-02	2.7284647391539959e-02	-7.7049274438325294e-02	5.2166960914932628e-02	2.5695461024157162e-02	-1.8837233624765371e-04	-2.5382306746440779e-21	-1.8837233624765371e-04	1.8837233624765371e-04
15                      	5.0543978634275024e-04	2.8918310980966064e-02	-2.8412871194623317e-02	-5.5516904258640302e-02	3.1643040516790101e-02	-8.7159944775430404e-02	5.9401492646110256e-02	2.8665591087794689e-02	2.6097871320965641e-04	-1.5394901377613994e-21	2.6097871320965641e-04	-2.6097871320965641e-04
16                      	2.4299751827657852e-03	3.1999812173401275e-02	-2.9569836990635489e-02	-5.9621242544921675e-02	3.5401251417476007e-02	-9.5022493962397675e-02	6.5211872689936834e-02	3.0784824582018384e-02	1.2546930682254696e-03	-9.7907769379446310e-22	1.2546930682254696e-03	-1.2546930682254696e-03
17                      	5.3658816640968160e-03	3.6622372702425687e-02	-3.1256491038328872e-02	-6.5730798432502707e-02	4.0871353808122644e-02	-1.0660215224062534e-01	7.3736753024373991e-02	3.3939431870377276e-02	2.7706186370173077e-03	-4.0284016107216805e-22	2.7706186370173077e-03	-2.7706186370173077e-03
18                      	7.2001880462364094e-03	4.1317456199140103e-02	-3.4117268152903689e-02	-7.3047549530776551e-02	4.6514156968072970e-02	-1.1956170649884952e-01	8.3037931733461245e-02	3.7717362176021896e-02	3.7177441545926488e-03	6.0672742750110254e-22	3.7177441545926488e-03	-3.7177441545926488e-03
19                      	8.9525614311193255e-03	4.7964820005537728e-02	-3.9012258574418403e-02	-8.4224639384387803e-02	5.4295156309134354e-02	-1.3851979569352216e-01	9.6407476001328249e-02	4.3488539289978069e-02	4.6225643990746830e-03	1.4976212630209690e-21	4.6225643990746830e-03	-4.6225643990746830e-03
20                      	8.9425818609675124e-03	5.0757612293353488e-02	-4.1815030432385970e-02	-8.9643128715431314e-02	5.7412126271660618e-02	-1.4705525498709193e-01	1.0223369062937628e-01	4.6286321362869726e-02	4.6174115491270122e-03	2.1770094969851133e-21	4.6174115491270122e-03	-4.6174115491270122e-03
21                      	8.6189173917953343e-03	5.4766524766213132e-02	-4.6147607374417803e-02	-9.7720646946307096e-02	6.1721939005625656e-02	-1.5944258595193275e-01	1.1058226247877921e-01	5.0457066070315464e-02	4.4502906794237325e-03	2.9135106968038739e-21	4.4502906794237325e-03	-4.4502906794237325e-03
22                      	7.2393865680142914e-03	5.8888276100052088e-02	-5.1648889532037799e-02	-1.0703915406145421e-01	6.6165870538341665e-02	-1.7320502459979589e-01	1.1968544756906876e-01	5.5268582816044944e-02	3.7379839142034584e-03	3.1714745910102358e-21	3.7379839142034584e-03	-3.7379839142034584e-03
23                      	6.3344500001424721e-03	6.5881716381743685e-02	-5.9547266381601210e-02	-1.2145971115691002e-01	7.3740343761184005e-02	-1.9520005491809403e-01	1.3447019933963902e-01	6.2714491381672455e-02	3.2707290850408828e-03	3.1793574527266542e-21	3.2707290850408828e-03	-3.2707290850408828e-03
24                      	5.6429058257633164e-03	7.3062754042977546e-02	-6.7419848217214237e-02	-1.3603695028993262e-01	8.1513395231502361e-02	-2.1755034552143496e-01	1.4953187037646867e-01	7.0241301130095884e-02	2.9136572564398716e-03	2.5015769038098799e-21	2.9136572564398716e-03	-2.9136572564398716e-03
25                      	4.4373870822604026e-03	7.9107311622546722e-02	-7.4669924540286314e-02	-1.4891086792983182e-01	8.7884122941772669e-02	-2.3679499087160449e-01	1.6233955690668858e-01	7.6888618081416518e-02	2.2911998660037308e-03	1.3566538467644491e-21	2.2911998660037308e-03	-2.2911998660037308e-03
26                      	8.9601835767242797e-04	8.4576102482653209e-02	-8.3680084124980764e-02	-1.6293162374030351e-01	9.3617902853685639e-02	-2.5654952659398916e-01	1.7508371472383738e-01	8.4128093303816986e-02	4.6265000167399704e-04	8.7738794621065254e-22	4.6265000167399704e-04	-4.6265000167399704e-04
27                      	-4.9078387807993977e-03	9.0361398207791807e-02	-9.5269236988591202e-02	-1.7975624800662426e-01	9.9532909644660716e-02	-2.7928915765128498e-01	1.8941103364797285e-01	9.2815317598191505e-02	-2.5341128345304112e-03	7.2093171218962920e-22	-2.5341128345304112e-03	2.5341128345304112e-03
28                      	-1.2468637348470903e-02	9.6039220202728495e-02	-1.0850785755119942e-01	-1.9807406896424659e-01	1.0523810236387600e-01	-3.0331217132812255e-01	2.0427513684599929e-01	1.0227353887696396e-01	-6.4380545786222338e-03	8.0455222662237926e-22	-6.4380545786222338e-03	6.4380545786222338e-03
29                      	-2.1006447741841971e-02	1.0269210163516586e-01	-1.2369854937700782e-01	-2.1922638990419333e-01	1.1197557015855863e-01	-3.3120196006275193e-01	2.2158876511065528e-01	1.1319532550608684e-01	-1.0846466481081811e-02	9.3470481633392649e-22	-1.0846466481081811e-02	1.0846466481081811e-02
30                      	-2.9253997314697338e-02	1.0695416371030006e-01	-1.3620816102499739e-01	-2.3546731445886368e-01	1.1615740115659579e-01	-3.5162471561545944e-01	2.3389105838602761e-01	1.2158116236764872e-01	-1.5105005149418904e-02	1.7733565370603320e-21	-1.5105005149418904e-02	1.5105005149418904e-02
31                      	-3.4627443988795026e-02	1.0512504895831612e-01	-1.3975249294711115e-01	-2.3712825260462272e-01	1.1380890383270180e-01	-3.5093715643732454e-01	2.3237303013501315e-01	1.2243877095271362e-01	-1.7879529902711157e-02	2.8268865757009209e-21	-1.7879529902711157e-02	1.7879529902711157e-02
32                      	-3.7093259601201869e-02	1.0214318280732591e-01	-1.3923644240852781e-01	-2.3374102948117448e-01	1.1035056302575780e-01	-3.4409159250693222e-01	2.2722107776634504e-01	1.2068981260792686e-01	-1.9152728813692451e-02	3.0898427801058654e-21	-1.9152728813692451e-02	1.9152728813692451e-02
33                      	-3.7572330548314846e-02	9.6596556943007575e-02	-1.3416888749132244e-01	-2.2346274049653508e-01	1.0411387443347089e-01	-3.2757661493000600e-01	2.1584524468173844e-01	1.1538272221716500e-01	-1.9400092243901112e-02	2.9354985003516505e-21	-1.9400092243901112e-02	1.9400092243901112e-02
34                      	-3.5289709720753897e-02	9.1918257730725136e-02	-1.2720796745147905e-01	-2.1219185096757776e-01	9.9042892843288738e-02	-3.1123474381086652e-01	2.0513881832707762e-01	1.0956311259110209e-01	-1.8221484104180119e-02	2.6657517161812505e-21	-1.8221484104180119e-02	1.8221484104180119e-02
35                      	-3.0854301205710088e-02	8.8872355905429093e-02	-1.1972665711113917e-01	-2.0199777842743624e-01	9.5975173743477818e-02	-2.9797295217091407e-01	1.9697406295719594e-01	1.0429950650828414e-01	-1.5931305851314328e-02	2.4817314403477829e-21	-1.5931305851314328e-02	1.5931305851314328e-02
36                      	-2.5250776939153358e-02	8.7388377183445082e-02	-1.1263915412259845e-01	-1.9369754613813076e-01	9.4777735848333738e-02	-2.8847528198646449e-01	1.9162650891739910e-01	1.0001376565302177e-01	-1.3037982864007284e-02	2.2074542461185319e-21	-1.3037982864007284e-02	1.3037982864007284e-02
37                      	-1.9123663707503621e-02	8.6030404514969405e-02	-1.0515406822247303e-01	-1.8513433119511818e-01	9.3839795437593188e-02	-2.7897412663271137e-01	1.8640696103515228e-01	9.5592236368721217e-02	-9.8743100189071023e-03	1.7355518643301944e-21	-9.8743100189071023e-03	9.8743100189071023e-03
38                      	-1.2928543740737220e-02	8.3883169381481201e-02	-9.6811713122218424e-02	-1.7497669001940536e-01	9.2113183346399966e-02	-2.6708987336580531e-01	1.7960152835610263e-01	9.0347441251849819e-02	-6.6755225850865432e-03	1.2744706129423369e-21	-6.6755225850865432e-03	6.6755225850865432e-03
39                      	-6.6938125560020529e-03	8.1454357295726587e-02	-8.8148169851728631e-02	-1.6423535856683924e-01	9.0194815136169004e-02	-2.5443017370300824e-01	1.7231249441958862e-01	8.4801263573727609e-02	-3.4562823001579247e-03	5.9235814830273507e-22	-3.4562823001579247e-03	3.4562823001579247e-03
40                      	-6.9915203578648226e-04	7.9256385041862359e-02	-7.9955537077648839e-02	-1.5417357015370400e-01	8.8662649211495956e-02	-2.4283621936519995e-01	1.6574943428834796e-01	7.9605961059755606e-02	-3.6100007076557297e-04	-5.0807354447127598e-23	-3.6100007076557297e-04	3.6100007076557297e-04
41                      	4.8877361786517073e-03	7.7767249932192556e-02	-7.2879513753540862e-02	-1.4587946103745050e-01	8.7977213308065627e-02	-2.3385667434551613e-01	1.6091694382679089e-01	7.5323381842866702e-02	2.5237330595652674e-03	-9.4584221054549012e-22	2.5237330595652674e-03	-2.5237330595652674e-03
42                      	9.9757950563189018e-03	7.7122293408617301e-02	-6.7146498352298398e-02	-1.3970332366721580e-01	8.8180928627973887e-02	-2.2788425229518966e-01	1.5803259046158177e-01	7.2134395880457849e-02	5.1509007153542150e-03	-1.7597181942656939e-21	5.1509007153542150e-03	-5.1509007153542150e-03
43                      	1.5384177345076225e-02	7.7522145406218296e-02	-6.2137968061142065e-02	-1.3524048962345675e-01	8.9471106421092794e-02	-2.2471159604454957e-01	1.5709135123282117e-01	6.9830056733680174e-02	7.9434641193530751e-03	-2.6895268802243784e-21	7.9434641193530751e-03	-7.9434641193530751e-03
44                      	2.1305966322954069e-02	7.8937074399320073e-02	-5.7631108076366004e-02	-1.3224640454924039e-01	9.1833644645563345e-02	-2.2408004919480373e-01	1.5795684692018352e-01	6.8284091237843042e-02	1.1001119866100476e-02	-3.6452088866054508e-21	1.1001119866100476e-02	-1.1001119866100476e-02
45                      	2.7407624510662490e-02	8.0985515802145275e-02	-5.3577891291482792e-02	-1.3030507142610823e-01	9.4811022700544881e-02	-2.2511609412665312e-01	1.5996355841359899e-01	6.7281703546814037e-02	1.4151649257139447e-02	-4.4497813393070494e-21	1.4151649257139447e-02	-1.4151649257139447e-02
46                      	3.3378504805740457e-02	8.3360154575251186e-02	-4.9981649769510736e-02	-1.2912212699207981e-01	9.8061207844644338e-02	-2.2718333483672415e-01	1.6262227134068424e-01	6.6670902172380961e-02	1.7234652808192780e-02	-4.9979736906726916e-21	1.7234652808192780e-02	-1.7234652808192780e-02
47                      	3.9211654703290855e-02	8.6165078595360323e-02	-4.6953423892069461e-02	-1.2890589164921967e-01	1.0175285973157552e-01	-2.3065875138079520e-01	1.6620580555618536e-01	6.6559251243714895e-02	2.0246540663790710e-02	-5.5967433330949965e-21	2.0246540663790710e-02	-2.0246540663790710e-02
48                      	4.4369436756895066e-02	8.8761572434928715e-02	-4.4392135678033642e-02	-1.2893998317267877e-01	1.0512036949328142e-01	-2.3406035266596018e-01	1.6959036107962080e-01	6.6576854056481172e-02	2.2909709175128794e-02	-6.0531581430401502e-21	2.2909709175128794e-02	-2.2909709175128794e-02
49                      	4.8851954378253334e-02	9.1110839847977465e-02	-4.2258885469724124e-02	-1.2914916438992624e-01	1.0815036716220729e-01	-2.3729953155213354e-01	1.7272494935717042e-01	6.6684862658850791e-02	2.5224211737790936e-02	-6.2984997238801065e-21	2.5224211737790936e-02	-2.5224211737790936e-02
50                      	5.2440189429024529e-02	9.3137802097857048e-02	-4.0697612668832532e-02	-1.2960011683103484e-01	1.1075964837806575e-01	-2.4035976520910060e-01	1.7555970679358318e-01	6.6917707383344793e-02	2.7076960554855808e-02	-6.6839638387582844e-21	2.7076960554855808e-02	-2.7076960554855808e-02
51                      	5.5517878551115667e-02	9.5138245061514082e-02	-3.9620366510398415e-02	-1.3049409854748500e-01	1.1334959093186568e-01	-2.4384368947935070e-01	1.7859664020560817e-01	6.7379305785956245e-02	2.8666094153843979e-02	-7.0803721261857064e-21	2.8666094153843979e-02	-2.8666094153843979e-02
52                      	5.8054089595581955e-02	9.6754654954600658e-02	-3.8700565359018710e-02	-1.3116866270875804e-01	1.1545328591658065e-01	-2.4662194862533868e-01	1.8103761727095966e-01	6.7727610156809684e-02	2.9975641033012951e-02	-6.6383671624450644e-21	2.9975641033012951e-02	-2.9975641033012951e-02
53                      	5.8486509670687283e-02	9.5729745953953518e-02	-3.7243236283266236e-02	-1.2876497647021928e-01	1.1428774872433854e-01	-2.4305272519455781e-01	1.7867023695944817e-01	6.6486491118609881e-02	3.0198916758067278e-02	-7.0507146017195163e-21	3.0198916758067278e-02	-3.0198916758067278e-02
54                      	5.6540168530506821e-02	9.1775755303184811e-02	-3.5235586772677990e-02	-1.2299199580763924e-01	1.0947016008837079e-01	-2.3246215589601005e-01	1.7096615799219042e-01	6.3505671037931394e-02	2.9193943228170226e-02	-6.5610615211306324e-21	2.9193943228170226e-02	-2.9193943228170226e-02
55                      	5.2858948504692208e-02	8.5965597479944644e-02	-3.3106648975252430e-02	-1.1530413739015900e-01	1.0230507166402485e-01	-2.1760920905418385e-01	1.5995714035910436e-01	5.9536123227598534e-02	2.7293182561246309e-02	-5.9185557794206385e-21	2.7293182561246309e-02	-2.7293182561246309e-02
56                      	4.8730552134292768e-02	8.0174870457864714e-02	-3.1444318323571946e-02	-1.0808693597189740e-01	9.5131255920386987e-02	-2.0321819189228441e-01	1.4917472390633568e-01	5.5809594390718337e-02	2.5161526919013900e-02	-5.6487607981096381e-21	2.5161526919013900e-02	-2.5161526919013900e-02
57                      	4.4413251662250790e-02	7.5105861833736173e-02	-3.0692610171485380e-02	-1.0245041909366374e-01	8.8799985275575671e-02	-1.9125040436923940e-01	1.4002519482240755e-01	5.2899236002610775e-02	2.2932332557632766e-02	-5.1946236206500966e-21	2.2932332557632766e-02	-2.2932332557632766e-02
58                      	3.9589375884281672e-02	7.0520319192924050e-02	-3.0930943308642378e-02	-9.8240779511010526e-02	8.2975542657517568e-02	-1.8121632216852809e-01	1.3209593241302284e-01	5.0725631250783214e-02	2.0441573169008145e-02	-4.7516968190593855e-21	2.0441573169008145e-02	-2.0441573169008145e-02
