# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# magUInf               : 1.6000000000000000e+01
# lRef                  : 1.5300000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 7.6500000000000001e-01 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
1                       	3.2879244398413898e-01	2.5792832870561860e-01	7.0864115278520323e-02	-1.8114445983763314e-01	3.3238843774518062e-01	-5.1353289758281373e-01	4.2296066766399720e-01	9.3532106713549154e-02	1.6976864754736598e-01	-2.1638447640302414e-21	1.6976864754736598e-01	-1.6976864754736598e-01
2                       	3.8840062836989202e-02	3.2242545867013403e-02	6.5975169699758005e-03	-2.4833477349662979e-02	4.0375322175633055e-02	-6.5208799525296027e-02	5.2792060850464541e-02	1.2822514448518802e-02	2.0054672968118602e-02	-1.9301711584997757e-21	2.0054672968118602e-02	-2.0054672968118602e-02
3                       	9.3256023673089702e-02	4.8948874636857473e-02	4.4307149036232230e-02	-4.4948355499725545e-03	6.9084733346056165e-02	-7.3579568896028708e-02	7.1332151121042436e-02	2.3208628003126251e-03	4.8151803073033260e-02	6.1504953041744562e-21	4.8151803073033260e-02	-4.8151803073033260e-02
4                       	3.1431108972309836e-02	-1.1467056247364774e-03	3.2577814597046319e-02	3.2657288569194733e-02	2.1856868380444668e-03	3.0471601731150263e-02	-1.4142957446552898e-02	-1.6862260110891397e-02	1.6229134698120765e-02	7.6209971634437193e-21	1.6229134698120765e-02	-1.6229134698120765e-02
5                       	4.5473421455124445e-02	-9.2679158831525236e-04	4.6400213043439699e-02	4.5829314611762720e-02	2.5943233335401282e-03	4.3234991278222591e-02	-2.0320333972341231e-02	-2.3663502315877476e-02	2.3479740489900876e-02	3.8882023203296258e-21	2.3479740489900876e-02	-2.3479740489900876e-02
6                       	6.8489888000941523e-02	8.4115300143436794e-03	6.0078357986597851e-02	5.0031801770600529e-02	1.5645948687698995e-02	3.4385853082901534e-02	-9.3699521976012695e-03	-2.5833413986127082e-02	3.5364059817479615e-02	5.6940056541461742e-21	3.5364059817479615e-02	-3.5364059817479615e-02
7                       	6.8864842520046293e-02	1.1144377801839097e-02	5.7720464718207194e-02	4.5102160115217158e-02	1.9049969500261135e-02	2.6052190614956026e-02	-3.5011105573474464e-03	-2.3288043458184051e-02	3.5557663784860513e-02	8.2830470185007749e-21	3.5557663784860513e-02	-3.5557663784860513e-02
8                       	5.1851633357973638e-02	5.6583211751861226e-03	4.6193312182787515e-02	3.9252238127613998e-02	1.1168307469381220e-02	2.8083930658232777e-02	-8.4578115944257785e-03	-2.0267495503800696e-02	2.6773065590064826e-02	9.7404229882917606e-21	2.6773065590064826e-02	-2.6773065590064826e-02
9                       	2.1280428106763619e-02	-1.0832554776673792e-02	3.2112982883437412e-02	4.1586501658208951e-02	-1.0944535182640030e-02	5.2531036840848977e-02	-3.1737786011744505e-02	-2.1472768830055600e-02	1.0987933466891017e-02	9.2107810294736696e-21	1.0987933466891017e-02	-1.0987933466891017e-02
10                      	4.4690988129658339e-03	-2.0778986628775392e-02	2.5248085441741227e-02	4.4570519156892689e-02	-2.3848499493659359e-02	6.8419018650552041e-02	-4.6133759072105707e-02	-2.3013536035258311e-02	2.3075738968908548e-03	8.6847916439378642e-21	2.3075738968908548e-03	-2.3075738968908548e-03
11                      	-4.2257483450074650e-03	-2.6475162511752193e-02	2.2249414166744728e-02	4.7182659695000205e-02	-3.1078739701220281e-02	7.8261399396220482e-02	-5.4670069548720383e-02	-2.4362288339248458e-02	-2.1819223480757472e-03	7.7797907920684914e-21	-2.1819223480757472e-03	2.1819223480757472e-03
12                      	-1.0140766648012861e-02	-2.9277261272992437e-02	1.9136494624979579e-02	4.6881675015124760e-02	-3.4709513108163274e-02	8.1591188123288041e-02	-5.8150350615725654e-02	-2.4206877948986006e-02	-5.2360821254445475e-03	7.3525041753649710e-21	-5.2360821254445475e-03	5.2360821254445475e-03
13                      	-1.4823817676319193e-02	-3.0143036482686472e-02	1.5319218806367278e-02	4.4023576324210278e-02	-3.6014437015902442e-02	8.0038013340112735e-02	-5.8026225178007582e-02	-2.2731127644526873e-02	-7.6541280812367080e-03	6.2041354153959935e-21	-7.6541280812367080e-03	7.6541280812367080e-03
14                      	-1.6834908534019200e-02	-2.7999105213403326e-02	1.1164196679384128e-02	3.7923956896180257e-02	-3.3592081866564531e-02	7.1516038762744788e-02	-5.2554060314654663e-02	-1.9581650946393726e-02	-8.6925344718138380e-03	5.0535493448460449e-21	-8.6925344718138380e-03	8.6925344718138380e-03
15                      	-1.3823953294793266e-02	-2.2352947333913385e-02	8.5289940391201219e-03	2.9904664747304587e-02	-2.6630944670290854e-02	5.6535609417595438e-02	-4.1583277043943150e-02	-1.5440970686516753e-02	-7.1378582371808413e-03	3.1677020595834098e-21	-7.1378582371808413e-03	7.1378582371808413e-03
16                      	-7.5330730653856114e-03	-1.4078270037349024e-02	6.5451969719634113e-03	1.9970825648258229e-02	-1.6342514962785354e-02	3.6313340611043583e-02	-2.6327927786914465e-02	-1.0311733504656218e-02	-3.8896259618657783e-03	1.9837543462141303e-21	-3.8896259618657783e-03	3.8896259618657783e-03
17                      	-1.5891103940095007e-03	-5.1376814907032773e-03	3.5485710966937770e-03	8.4113711764034760e-03	-5.3130365870754578e-03	1.3724407763478934e-02	-9.5187221752771958e-03	-4.3431262936985274e-03	-8.2052105311601750e-04	1.7249706283191174e-21	-8.2052105311601750e-04	8.2052105311601750e-04
18                      	1.0241891992536411e-03	7.4316674963240722e-04	2.8102244962123393e-04	-4.4751948039056631e-04	1.7483039503698881e-03	-2.1958234307604546e-03	1.9720636905651710e-03	2.3107215000558659e-04	5.2882971726168383e-04	1.7962037390324563e-21	5.2882971726168383e-04	-5.2882971726168383e-04
19                      	4.1717683951986630e-03	5.0771727179061525e-03	-9.0540432270748926e-04	-5.7932549823663726e-03	6.9719484019338616e-03	-1.2765203384300233e-02	9.8685758931170466e-03	2.9912885203068206e-03	2.1540503478476745e-03	1.8055460447240387e-21	2.1540503478476745e-03	-2.1540503478476745e-03
20                      	9.3337664391877975e-03	9.4091159517626071e-03	-7.5349512574809989e-05	-9.1843241521748359e-03	1.2411413086514249e-02	-2.1595737238689086e-02	1.7003575162601668e-02	4.7422327321687083e-03	4.8193957431100394e-03	1.4745872650320294e-21	4.8193957431100394e-03	-4.8193957431100394e-03
21                      	1.3311454816501186e-02	1.2555254564426273e-02	7.5620025207491287e-04	-1.1425666517656698e-02	1.6344424445210885e-02	-2.7770090962867588e-02	2.2057257704039237e-02	5.8995271561756799e-03	6.8732348398927714e-03	1.2653657248705935e-21	6.8732348398927714e-03	-6.8732348398927714e-03
22                      	1.3452413726871381e-02	1.2431371578999161e-02	1.0210421478722190e-03	-1.1049243056724190e-02	1.6104453207079920e-02	-2.7153696263804109e-02	2.1629074735442014e-02	5.7051647155634709e-03	6.9460175452473183e-03	1.2110328119149711e-21	6.9460175452473183e-03	-6.9460175452473183e-03
23                      	1.3944708069290454e-02	1.2625875707428203e-02	1.3188323618622518e-03	-1.0949225518174623e-02	1.6267707017423052e-02	-2.7216932535597680e-02	2.1742319776510366e-02	5.6535216727829751e-03	7.2002087416597792e-03	1.0237995888165732e-21	7.2002087416597792e-03	-7.2002087416597792e-03
24                      	1.6729263957698061e-02	1.4732002929194618e-02	1.9972610285034450e-03	-1.2331743739276898e-02	1.8911736236688154e-02	-3.1243479975965053e-02	2.5077608106326605e-02	6.3673709503455859e-03	8.6379859650859252e-03	6.4838078085123849e-22	8.6379859650859252e-03	-8.6379859650859252e-03
25                      	2.0547466381294722e-02	1.7828495099233552e-02	2.7189712820611706e-03	-1.4631374329287171e-02	2.2810199539396087e-02	-3.7441573868683256e-02	3.0125886704039671e-02	7.5547619085861899e-03	1.0609476105374405e-02	4.4803722699610308e-22	1.0609476105374405e-02	-1.0609476105374405e-02
26                      	2.3363038187003398e-02	2.0102942809353708e-02	3.2600953776496938e-03	-1.6309845930700707e-02	2.5671618487685538e-02	-4.1981464418386252e-02	3.3826541453035895e-02	8.4214237158520052e-03	1.2063268083485418e-02	2.9001467163305636e-22	1.2063268083485418e-02	-1.2063268083485418e-02
27                      	2.5628185466094983e-02	2.1807882586930082e-02	3.8203028791649008e-03	-1.7418352501823230e-02	2.7830404190423073e-02	-4.5248756692246310e-02	3.6539580441334693e-02	8.9937898538825917e-03	1.3232853933473886e-02	2.4587248294005220e-22	1.3232853933473886e-02	-1.3232853933473886e-02
28                      	2.7445212850225460e-02	2.2905337632633298e-02	4.5398752175921653e-03	-1.7784276895577815e-02	2.9253326191675751e-02	-4.7037603087253563e-02	3.8145464639464659e-02	9.1827312075205645e-03	1.4171057615475893e-02	2.0874073577645808e-22	1.4171057615475893e-02	-1.4171057615475893e-02
29                      	2.7340329558901554e-02	2.2409295264532943e-02	4.9310342943686076e-03	-1.6925151445792042e-02	2.8637838279728600e-02	-4.5562989725520649e-02	3.7100414002624621e-02	8.7391304850821683e-03	1.4116902190543937e-02	3.2442820803907527e-22	1.4116902190543937e-02	-1.4116902190543937e-02
30                      	2.4549615233252896e-02	1.9988072580370744e-02	4.5615426528821529e-03	-1.4938348600669329e-02	2.5525233398074429e-02	-4.0463581998743760e-02	3.2994407698409098e-02	7.7132649637442954e-03	1.2675945120437768e-02	4.4654097382431552e-22	1.2675945120437768e-02	-1.2675945120437768e-02
31                      	2.0956462680960984e-02	1.7221492495294265e-02	3.7349701856667188e-03	-1.3059733628943129e-02	2.1945831913716855e-02	-3.5005565542659982e-02	2.8475698728188420e-02	6.7432611548137742e-03	1.0820657201280511e-02	5.9153580982167409e-22	1.0820657201280511e-02	-1.0820657201280511e-02
32                      	1.6476313236400357e-02	1.3903627352529516e-02	2.5726858838708423e-03	-1.0972367371549233e-02	1.7654865723369540e-02	-2.8627233094918769e-02	2.3141049409144153e-02	5.6654707343293366e-03	8.5073774227165232e-03	7.0792767343028995e-22	8.5073774227165232e-03	-8.5073774227165232e-03
33                      	1.2195666473910162e-02	1.0722939845465858e-02	1.4727266284443039e-03	-8.9574849506601200e-03	1.3544419693018098e-02	-2.2501904643678218e-02	1.8023162168348157e-02	4.6251066085107768e-03	6.2971088329340022e-03	8.1514379492272341e-22	6.2971088329340022e-03	-6.2971088329340022e-03
34                      	7.8851986411319595e-03	7.6119608158898627e-03	2.7323782524209744e-04	-7.1064849213234626e-03	9.5029414894191935e-03	-1.6609426410742655e-02	1.3056183950080924e-02	3.6693614953238825e-03	4.0714424356171558e-03	8.8337460606716344e-22	4.0714424356171558e-03	-4.0714424356171558e-03
35                      	3.6922455596910750e-03	4.6212833051834743e-03	-9.2903774549239911e-04	-5.3746779794519505e-03	5.6133788151725705e-03	-1.0988056794624522e-02	8.3007178048985462e-03	2.7751605253379364e-03	1.9064535896444112e-03	8.7263835728025165e-22	1.9064535896444112e-03	-1.9064535896444112e-03
36                      	5.8211693654474012e-04	2.3398267529432205e-03	-1.7577098163984806e-03	-3.9678676905650651e-03	2.6617633994312048e-03	-6.6296310899962704e-03	4.6456972447137370e-03	2.0487682846708506e-03	3.0057018292179355e-04	7.4214115868678204e-22	3.0057018292179355e-04	-3.0057018292179355e-04
37                      	-1.2538176946471002e-03	8.5585753847103264e-04	-2.1096752331181325e-03	-2.8716867978046973e-03	7.6234533679333464e-04	-3.6340321345980321e-03	2.1981887356956834e-03	1.4827663857945829e-03	-6.4739606455634525e-04	6.1184792593211838e-22	-6.4739606455634525e-04	6.4739606455634525e-04
38                      	-1.8857751780925595e-03	1.8484889340450729e-04	-2.0706240714970666e-03	-2.1840972381641822e-03	-7.7093755336518730e-05	-2.1070034828276638e-03	1.0149548637455724e-03	1.1277364824507871e-03	-9.7370090894975312e-04	4.4668563928559495e-22	-9.7370090894975312e-04	9.7370090894975312e-04
39                      	-1.6855686041132060e-03	4.0564606525458269e-05	-1.7261332106386642e-03	-1.7107896583931055e-03	-2.2009436348595623e-04	-1.4906952949071495e-03	6.3530046571059660e-04	8.8334890858206120e-04	-8.7032627271204743e-04	2.9334737394017128e-22	-8.7032627271204743e-04	8.7032627271204743e-04
40                      	-1.5121628612457443e-03	-2.1171330788103882e-04	-1.3004495533647054e-03	-1.0542825668291200e-03	-4.8510935505042760e-04	-5.6917321177869242e-04	4.2031928364132400e-05	5.4436812274183323e-04	-7.8078997410727926e-04	2.9671649092702646e-22	-7.8078997410727926e-04	7.8078997410727926e-04
41                      	-1.4941542114404462e-03	-6.4746455762478775e-04	-8.4668965381565838e-04	-1.9292050453926092e-04	-9.7360057929477863e-04	7.8068007475551760e-04	-8.7714032702514817e-04	9.9612548095435284e-05	-7.7149139022088351e-04	2.2963078323586017e-22	-7.7149139022088351e-04	7.7149139022088351e-04
42                      	-1.5440421875492288e-03	-1.1339600944006729e-03	-4.1008209314855591e-04	7.0097046956692438e-04	-1.5236251843141052e-03	2.2245956538810298e-03	-1.8741104190975674e-03	-3.6193900062605848e-04	-7.9725054128358859e-04	2.3651966679006276e-22	-7.9725054128358859e-04	7.9725054128358859e-04
43                      	-1.4631068813847228e-03	-1.4402976256616814e-03	-2.2809255723041644e-05	1.3726311430418475e-03	-1.8523999341335930e-03	3.2250310771754407e-03	-2.5387155056545169e-03	-7.0874418496931978e-04	-7.5546041587838599e-04	2.2652176039336623e-22	-7.5546041587838599e-04	7.5546041587838599e-04
44                      	-1.2744382930591506e-03	-1.5225412168871060e-03	2.4810292382795542e-04	1.7146110982873693e-03	-1.9130358755168294e-03	3.6276469738041987e-03	-2.7703414246605142e-03	-8.8532207035753080e-04	-6.5804330164492147e-04	2.6927534370771336e-22	-6.5804330164492147e-04	6.5804330164492147e-04
45                      	-1.0625982069083415e-03	-1.4542811208050348e-03	3.9168291389669332e-04	1.7875474513250910e-03	-1.8024928961307095e-03	3.5900403474558003e-03	-2.6962666217932550e-03	-9.2298201735086405e-04	-5.4866181925332695e-04	2.8051306411915947e-22	-5.4866181925332695e-04	5.4866181925332695e-04
46                      	-7.9014123361370342e-04	-1.2490219424169599e-03	4.5888070880325643e-04	1.6538550989664120e-03	-1.5332584012322213e-03	3.1871135001986330e-03	-2.3601859507154273e-03	-8.5395132561010814e-04	-4.0798142127766403e-04	2.0658548644807001e-22	-4.0798142127766403e-04	4.0798142127766403e-04
47                      	-6.0659624742586391e-04	-1.0461416200083016e-03	4.3954537258243784e-04	1.4386715814328061e-03	-1.2799655196774297e-03	2.7186371011102359e-03	-1.9993013103938328e-03	-7.4284349629536979e-04	-3.1320982710224374e-04	7.6980654907250204e-23	-3.1320982710224374e-04	3.1320982710224374e-04
48                      	-4.4577249754941723e-04	-8.1409694995371058e-04	3.6832445240429329e-04	1.1450030035492068e-03	-9.9729552831562870e-04	2.1422985318648355e-03	-1.5697970300902323e-03	-5.9121070117900190e-04	-2.3017011311375138e-04	-3.3404933835932619e-23	-2.3017011311375138e-04	2.3017011311375138e-04
