# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	omega_solver            	omega_initial           	omega_final             	omega_iters             	omega_converged         	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
1                       	smoothSolver	1.0000000000000000e+00	7.2069055151219835e-02	6	1.0000000000000000e+00	7.5437559989823155e-02	7	false	smoothSolver	9.9999999997117650e-01	7.0002003410605709e-02	7	true	smoothSolver	1.6706186606020160e-01	1.4857004154528069e-02	4	true	GAMG	1.0000000000000000e+00	9.1590013144425206e-02	7	true
2                       	smoothSolver	3.9757277098813709e-01	3.6375125696626903e-02	6	4.6778589500239443e-01	4.4473130871591542e-02	6	false	smoothSolver	2.6814647325527369e-01	1.8183660175002971e-02	2	true	smoothSolver	1.3794617899235451e-01	1.1078532657056781e-02	2	true	GAMG	3.6487202480712638e-01	1.3474058545785050e-02	3	true
3                       	smoothSolver	6.5555623500989990e-01	2.6441876328015191e-02	3	5.1830267559860288e-01	2.6980808747519611e-02	3	false	smoothSolver	1.4828181076970229e-01	8.2786655490121111e-03	2	true	smoothSolver	2.4623573434340360e-01	1.8668125264882259e-02	1	true	GAMG	4.5695788443093333e-01	3.0203400857883679e-02	3	true
4                       	smoothSolver	5.7480250555145407e-01	2.8091723205795911e-02	3	4.9871358409576572e-01	4.9862007452439010e-02	2	false	smoothSolver	8.1031715065642412e-02	3.7187599638078780e-03	2	true	smoothSolver	1.2851092567561700e-01	1.2515942872209069e-02	1	true	GAMG	1.1657899023525030e-01	1.0541221042731979e-02	2	true
5                       	smoothSolver	4.8099176312764041e-01	3.2130438946007922e-02	3	4.0212857304535682e-01	2.7713549157997511e-02	3	false	smoothSolver	5.1490415412789203e-02	2.2866527715575389e-03	2	true	smoothSolver	6.5881694773002084e-02	1.5859367723541600e-03	2	true	GAMG	8.2213361320588957e-02	7.9869852564732075e-03	2	true
6                       	smoothSolver	4.2788649143522162e-01	3.2857853883417387e-02	3	3.4963661252842598e-01	2.5051601033864852e-02	3	false	smoothSolver	4.4492050043320533e-02	1.8815083937308401e-03	2	true	smoothSolver	4.3205875748888019e-02	1.4990697750656709e-03	2	true	GAMG	7.1753776759981985e-02	6.7091230764179961e-03	2	true
7                       	smoothSolver	3.8641253003281539e-01	3.6611924761218842e-02	3	2.9023264240719099e-01	2.4624377437515419e-02	3	false	smoothSolver	3.9129906664966713e-02	1.8755489739265339e-03	2	true	smoothSolver	3.7782500334339858e-02	1.5614711900588951e-03	2	true	GAMG	6.6465433912995545e-02	5.9468723660354474e-03	2	true
8                       	smoothSolver	3.5865398802982479e-01	3.4387181473066283e-02	3	2.5698196293191727e-01	2.3621328929852390e-02	3	false	smoothSolver	3.8022545922949742e-02	1.6444957568459741e-03	2	true	smoothSolver	3.1338042793913258e-02	1.3339457365071901e-03	2	true	GAMG	6.3803249426875777e-02	6.2674040176062540e-03	2	true
9                       	smoothSolver	3.2423898859770861e-01	3.2263912737765132e-02	3	2.2929126379789250e-01	2.2928219474322949e-02	3	false	smoothSolver	3.7534957154609180e-02	1.6030046301083610e-03	2	true	smoothSolver	2.7660125488643768e-02	1.0386778258059659e-03	2	true	GAMG	6.1535075833679842e-02	5.5357518294347182e-03	2	true
10                      	smoothSolver	2.8821981744529129e-01	1.7961487080086071e-02	4	2.1510069831017001e-01	1.2971460710620140e-02	4	false	smoothSolver	3.6535175476072872e-02	1.5066702246379531e-03	2	true	smoothSolver	2.1878908816313949e-02	9.5256014705627848e-04	2	true	GAMG	5.8043752628280869e-02	5.7113554721605064e-03	2	true
11                      	smoothSolver	2.4864853284751820e-01	1.6328083720622229e-02	4	1.9018320973690689e-01	1.3326118317394340e-02	4	false	smoothSolver	3.5493003834521988e-02	1.6871434437804990e-03	2	true	smoothSolver	2.4218849781076721e-02	1.0643773021018329e-03	2	true	GAMG	5.7126332913550383e-02	5.4815087642939350e-03	2	true
12                      	smoothSolver	2.3076768768408071e-01	1.5476570741594271e-02	4	1.8593777525315910e-01	1.3330899387654331e-02	4	false	smoothSolver	4.0009193325162430e-02	1.3976082986892071e-03	2	true	smoothSolver	2.0411265666225600e-02	6.8781314963571507e-04	2	true	GAMG	5.4954876460866948e-02	5.4868946546445157e-03	2	true
13                      	smoothSolver	2.0970268468250400e-01	1.4519218389391729e-02	4	1.6235933156381990e-01	1.3371650764132860e-02	4	false	smoothSolver	5.1665493978972812e-02	1.6920481214055369e-03	2	true	smoothSolver	2.9542974573491351e-02	1.2393298598186279e-03	2	true	GAMG	5.5812430559369283e-02	3.3399675344031351e-03	3	true
14                      	smoothSolver	2.0803470255423540e-01	1.4022209742719310e-02	4	1.6058101082178061e-01	1.3706006701199560e-02	4	false	smoothSolver	4.4541532330544482e-02	1.3499429717566049e-03	2	true	smoothSolver	2.6051161135815060e-02	9.3156638455072589e-04	2	true	GAMG	5.5023984605975740e-02	3.5431338473514069e-03	3	true
