# y+ ()                 
# Time                  	patch                   	min                     	max                     	average                 
100                     	RW	2.1503062778104920e-01	8.0281316580685797e+01	5.3831414239738375e+00
100                     	F1	1.9991741209645644e-01	1.4030433201964257e+02	4.9215745625188569e+00
100                     	F2	5.2009539853089870e-01	2.3475438758936036e+02	5.9752475135738985e+00
100                     	U3	2.3892582506365742e-01	5.9290491888990864e+01	3.9142459683913309e+00
200                     	RW	2.2042357978765534e-01	6.5648456735350976e+01	5.6444836072182571e+00
200                     	F1	1.8691527923280586e+00	7.9175798365111717e+01	7.9561383905890724e+00
200                     	F2	7.4004989330110216e-01	1.2076627994236431e+02	6.3280756270070606e+00
200                     	U3	3.6895675710948456e-01	5.7200867906914318e+01	3.6028843334190070e+00
300                     	RW	4.6147568554529261e-01	9.2526049030484600e+01	5.4452493721336239e+00
300                     	F1	9.2616295915175673e-01	5.3878105535195807e+01	7.1736588019353347e+00
300                     	F2	2.7992235155987982e-01	1.0480772694571365e+02	5.9825104482334392e+00
300                     	U3	1.6957085832156493e-01	5.3242179732110806e+01	3.4163973406748394e+00
400                     	RW	6.4005853817026548e-01	8.6061354501073069e+01	5.4878080058789873e+00
400                     	F1	2.1013315901360459e+00	5.3954269332779361e+01	7.2688192984902269e+00
400                     	F2	4.3473153748091886e-01	1.1299300322507143e+02	5.9902011811308071e+00
400                     	U3	1.2781540535705369e-01	5.2178079806610732e+01	3.4275743685097635e+00
500                     	RW	4.9110519089268373e-01	8.4301972583767025e+01	5.4454543978497068e+00
500                     	F1	2.0360521100632631e+00	5.1103013306791333e+01	7.2733461054541673e+00
500                     	F2	6.1788691158919340e-01	1.0281949564887951e+02	5.8221762580503702e+00
500                     	U3	2.2420105668476714e-01	5.2084877999101465e+01	3.4965484374219464e+00
600                     	RW	7.6916844599875811e-01	8.7465746304565812e+01	5.4218033914599717e+00
600                     	F1	2.1833105104889370e+00	5.0637827911001921e+01	7.2256053237343929e+00
600                     	F2	8.6932789561867091e-02	9.7795375792535509e+01	5.7404363765012878e+00
600                     	U3	2.3483674000142074e-01	5.1439326225816636e+01	3.4733205451934883e+00
700                     	RW	6.1419713802971465e-01	8.6685315935354680e+01	5.4260759193135959e+00
700                     	F1	2.1245279508260020e+00	5.0848381976733336e+01	7.2632967506672390e+00
700                     	F2	1.6447441503990604e-01	9.6041292611313864e+01	5.7259149295703633e+00
700                     	U3	2.2554754982193970e-01	5.1243111215363861e+01	3.4712237010203917e+00
800                     	RW	4.4312718341550078e-01	8.4838328054364439e+01	5.4268105762548213e+00
800                     	F1	2.0433432428767948e+00	5.1118441953777193e+01	7.2909816989648659e+00
800                     	F2	2.7885179582973718e-01	9.6278662812367500e+01	5.7298838228123934e+00
800                     	U3	2.2580281929532556e-01	5.1682199120054200e+01	3.4821753890081357e+00
900                     	RW	3.7551871199267106e-01	8.4380090792230305e+01	5.4204042763673090e+00
900                     	F1	2.0196437501679716e+00	5.1071055206185633e+01	7.2872301237140480e+00
900                     	F2	3.4965872285018235e-01	9.7977360984165273e+01	5.7342563933597654e+00
900                     	U3	2.1066233765240949e-01	5.1782250559325874e+01	3.4793676115137959e+00
1000                    	RW	4.0176633431127895e-01	8.4036113491238353e+01	5.4217302051963818e+00
1000                    	F1	2.0248283637189459e+00	5.1016532321147466e+01	7.2912708512361935e+00
1000                    	F2	3.5426391733849744e-01	9.7614947842079843e+01	5.7270558910785478e+00
1000                    	U3	1.7994833679708919e-01	5.1792549672007134e+01	3.4744421025190744e+00
